Source,Target,Attributes
"ROCCETTI, MARCO","PRANDI, CATIA",{'weight': 0.5}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","MARCHETTI, LUCA",{'weight': 0.05}
"SALOMONI, PAOLA","PRANDI, CATIA",{'weight': 1.8}
"SALOMONI, PAOLA","MARCHETTI, LUCA",{'weight': 0.05}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"MARFIA, GUSTAVO","PRANDI, CATIA",{'weight': 0.15}
"MARFIA, GUSTAVO","MARCHETTI, LUCA",{'weight': 0.05}
"PRANDI, CATIA","MARCHETTI, LUCA",{'weight': 0.05}
