Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","CECCHERELLI, ANDREA",{'weight': 0.1}
"ROCCETTI, MARCO","CERVINI, CRISTIANA",{'weight': 0.1}
"ROCCETTI, MARCO","VALVA, ANTONELLA",{'weight': 0.05}
"SALOMONI, PAOLA","CECCHERELLI, ANDREA",{'weight': 0.1}
"SALOMONI, PAOLA","CERVINI, CRISTIANA",{'weight': 0.1}
"SALOMONI, PAOLA","VALVA, ANTONELLA",{'weight': 0.05}
"CECCHERELLI, ANDREA","CERVINI, CRISTIANA",{'weight': 0.1}
"CECCHERELLI, ANDREA","VALVA, ANTONELLA",{'weight': 0.05}
"CERVINI, CRISTIANA","VALVA, ANTONELLA",{'weight': 0.05}
