Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","FERRETTI, STEFANO",{'weight': 2.95}
"ROCCETTI, MARCO","CACCIAGUERRA, STEFANO",{'weight': 0.55}
"ROCCETTI, MARCO","ROFFILLI, MATTEO",{'weight': 0.1}
"SALOMONI, PAOLA","MIRRI, SILVIA",{'weight': 3.95}
"SALOMONI, PAOLA","FERRETTI, STEFANO",{'weight': 1.3}
"SALOMONI, PAOLA","CACCIAGUERRA, STEFANO",{'weight': 0.45}
"SALOMONI, PAOLA","ROFFILLI, MATTEO",{'weight': 0.1}
"CACCIAGUERRA, STEFANO","FERRETTI, STEFANO",{'weight': 0.3}
"CACCIAGUERRA, STEFANO","MIRRI, SILVIA",{'weight': 0.2}
"CACCIAGUERRA, STEFANO","ROFFILLI, MATTEO",{'weight': 0.2}
"FERRETTI, STEFANO","MIRRI, SILVIA",{'weight': 0.9}
"FERRETTI, STEFANO","ROFFILLI, MATTEO",{'weight': 0.05}
"MIRRI, SILVIA","ROFFILLI, MATTEO",{'weight': 0.1}
