Source,Target,Attributes
"GHINI, VITTORIO","FERRETTI, STEFANO",{'weight': 1.2}
"GHINI, VITTORIO","ROCCETTI, MARCO",{'weight': 0.25}
"GHINI, VITTORIO","SALOMONI, PAOLA",{'weight': 0.25}
"GHINI, VITTORIO",G. Pau,{'weight': 0.1}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO",G. Pau,{'weight': 1.05}
"ROCCETTI, MARCO","FERRETTI, STEFANO",{'weight': 2.95}
"SALOMONI, PAOLA","FERRETTI, STEFANO",{'weight': 1.3}
"SALOMONI, PAOLA",G. Pau,{'weight': 0.15}
"FERRETTI, STEFANO",G. Pau,{'weight': 0.45}
