Source,Target,Attributes
"MARFIA, GUSTAVO","ROCCETTI, MARCO",{'weight': 3.7}
"MARFIA, GUSTAVO","ZANICHELLI, MARCO",{'weight': 0.15}
"MARFIA, GUSTAVO","BERTUCCIOLI, CRISTIAN",{'weight': 0.25}
"MARFIA, GUSTAVO","MARCOMINI, ANDREA",{'weight': 0.25}
"MARFIA, GUSTAVO","VARNI, ANGELO",{'weight': 0.3}
"VARNI, ANGELO","ROCCETTI, MARCO",{'weight': 0.3}
"VARNI, ANGELO","BERTUCCIOLI, CRISTIAN",{'weight': 0.1}
"VARNI, ANGELO","MARCOMINI, ANDREA",{'weight': 0.1}
"VARNI, ANGELO","ZANICHELLI, MARCO",{'weight': 0.1}
"ZANICHELLI, MARCO","ROCCETTI, MARCO",{'weight': 0.15}
"ZANICHELLI, MARCO","BERTUCCIOLI, CRISTIAN",{'weight': 0.05}
"ZANICHELLI, MARCO","MARCOMINI, ANDREA",{'weight': 0.05}
"ROCCETTI, MARCO","BERTUCCIOLI, CRISTIAN",{'weight': 0.25}
"ROCCETTI, MARCO","MARCOMINI, ANDREA",{'weight': 0.25}
"BERTUCCIOLI, CRISTIAN","MARCOMINI, ANDREA",{'weight': 0.2}
