Source,Target,Attributes
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","MAZZEO, ROCCO",{'weight': 0.05}
"ROCCETTI, MARCO","PALAZZI, CLAUDIO ENRICO",{'weight': 0.4}
"ROCCETTI, MARCO","SCIUTTO, GIORGIA",{'weight': 0.05}
"SCIUTTO, GIORGIA","MAZZEO, ROCCO",{'weight': 0.1}
"SCIUTTO, GIORGIA","MIRRI, SILVIA",{'weight': 0.05}
"SCIUTTO, GIORGIA","PALAZZI, CLAUDIO ENRICO",{'weight': 0.05}
"PALAZZI, CLAUDIO ENRICO","MIRRI, SILVIA",{'weight': 0.05}
"PALAZZI, CLAUDIO ENRICO","MAZZEO, ROCCO",{'weight': 0.05}
"MIRRI, SILVIA","MAZZEO, ROCCO",{'weight': 0.05}
