Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","Prandi, Catia",{'weight': 0.15}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"SALOMONI, PAOLA","MIRRI, SILVIA",{'weight': 3.95}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"SALOMONI, PAOLA","Prandi, Catia",{'weight': 0.15}
"MARFIA, GUSTAVO","Prandi, Catia",{'weight': 0.1}
"MARFIA, GUSTAVO","MIRRI, SILVIA",{'weight': 0.05}
"MIRRI, SILVIA","Prandi, Catia",{'weight': 0.1}
