Source,Target,Attributes
"ROCCETTI, MARCO","PRANDI, CATIA",{'weight': 0.5}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","MONTAGNANI, MARCO",{'weight': 0.1}
"SALOMONI, PAOLA","PRANDI, CATIA",{'weight': 1.8}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"SALOMONI, PAOLA","MONTAGNANI, MARCO",{'weight': 0.1}
"MARFIA, GUSTAVO","PRANDI, CATIA",{'weight': 0.15}
"MARFIA, GUSTAVO","MONTAGNANI, MARCO",{'weight': 0.1}
"MONTAGNANI, MARCO","PRANDI, CATIA",{'weight': 0.05}
