Source,Target,Attributes
"PALAZZI, CLAUDIO ENRICO","BUJARI, ARMIR",{'weight': 0.05}
"PALAZZI, CLAUDIO ENRICO","MIRRI, SILVIA",{'weight': 0.05}
"PALAZZI, CLAUDIO ENRICO","ROCCETTI, MARCO",{'weight': 0.4}
"PALAZZI, CLAUDIO ENRICO","MARFIA, GUSTAVO",{'weight': 0.1}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","BUJARI, ARMIR",{'weight': 0.1}
"MARFIA, GUSTAVO","MIRRI, SILVIA",{'weight': 0.05}
"MARFIA, GUSTAVO","BUJARI, ARMIR",{'weight': 0.1}
"BUJARI, ARMIR","MIRRI, SILVIA",{'weight': 0.05}
