Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","Prandi, Catia",{'weight': 0.15}
"ROCCETTI, MARCO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"ROCCETTI, MARCO","GNINGAYE, KENGNI",{'weight': 0.05}
"ROCCETTI, MARCO","FAUSTINE, LINDA",{'weight': 0.05}
"ROCCETTI, MARCO","BAZZOLI, FRANCO",{'weight': 0.05}
"ROCCETTI, MARCO","MONTAGNANI, MARCO",{'weight': 0.1}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"SALOMONI, PAOLA","Prandi, Catia",{'weight': 0.15}
"SALOMONI, PAOLA","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"SALOMONI, PAOLA","GNINGAYE, KENGNI",{'weight': 0.05}
"SALOMONI, PAOLA","FAUSTINE, LINDA",{'weight': 0.05}
"SALOMONI, PAOLA","BAZZOLI, FRANCO",{'weight': 0.05}
"SALOMONI, PAOLA","MONTAGNANI, MARCO",{'weight': 0.1}
"MARFIA, GUSTAVO","Prandi, Catia",{'weight': 0.1}
"MARFIA, GUSTAVO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"MARFIA, GUSTAVO","GNINGAYE, KENGNI",{'weight': 0.05}
"MARFIA, GUSTAVO","FAUSTINE, LINDA",{'weight': 0.05}
"MARFIA, GUSTAVO","BAZZOLI, FRANCO",{'weight': 0.05}
"MARFIA, GUSTAVO","MONTAGNANI, MARCO",{'weight': 0.1}
"MONTAGNANI, MARCO","Prandi, Catia",{'weight': 0.05}
"MONTAGNANI, MARCO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"MONTAGNANI, MARCO","GNINGAYE, KENGNI",{'weight': 0.05}
"MONTAGNANI, MARCO","FAUSTINE, LINDA",{'weight': 0.05}
"MONTAGNANI, MARCO","BAZZOLI, FRANCO",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","Prandi, Catia",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","GNINGAYE, KENGNI",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","FAUSTINE, LINDA",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","BAZZOLI, FRANCO",{'weight': 0.05}
"GNINGAYE, KENGNI","Prandi, Catia",{'weight': 0.05}
"GNINGAYE, KENGNI","FAUSTINE, LINDA",{'weight': 0.05}
"GNINGAYE, KENGNI","BAZZOLI, FRANCO",{'weight': 0.05}
"BAZZOLI, FRANCO","Prandi, Catia",{'weight': 0.05}
"BAZZOLI, FRANCO","FAUSTINE, LINDA",{'weight': 0.05}
"FAUSTINE, LINDA","Prandi, Catia",{'weight': 0.05}
