Source,Target,Attributes
"MURATORI, LUDOVICO ANTONIO","MIRRI, SILVIA",{'weight': 0.95}
"MURATORI, LUDOVICO ANTONIO","SALOMONI, PAOLA",{'weight': 1.05}
"MURATORI, LUDOVICO ANTONIO","PRANDI, CATIA",{'weight': 0.05}
"MURATORI, LUDOVICO ANTONIO","ROCCETTI, MARCO",{'weight': 0.3}
"MURATORI, LUDOVICO ANTONIO","FERRETTI, STEFANO",{'weight': 0.2}
"ROCCETTI, MARCO","PRANDI, CATIA",{'weight': 0.5}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","FERRETTI, STEFANO",{'weight': 2.95}
"SALOMONI, PAOLA","MIRRI, SILVIA",{'weight': 3.95}
"SALOMONI, PAOLA","PRANDI, CATIA",{'weight': 1.8}
"SALOMONI, PAOLA","FERRETTI, STEFANO",{'weight': 1.3}
"FERRETTI, STEFANO","MIRRI, SILVIA",{'weight': 0.9}
"FERRETTI, STEFANO","PRANDI, CATIA",{'weight': 0.3}
"PRANDI, CATIA","MIRRI, SILVIA",{'weight': 1.3}
