Source,Target,Attributes
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","VITALI, FABIO",{'weight': 0.05}
"SALOMONI, PAOLA","MIRRI, SILVIA",{'weight': 3.95}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"SALOMONI, PAOLA","VITALI, FABIO",{'weight': 0.25}
"MARFIA, GUSTAVO","MIRRI, SILVIA",{'weight': 0.05}
"MARFIA, GUSTAVO","VITALI, FABIO",{'weight': 0.05}
"VITALI, FABIO","MIRRI, SILVIA",{'weight': 0.25}
