Source,Target,Attributes
"ROVERSI, MONACO","ROCCETTI, MARCO",{'weight': 0.05}
"ROVERSI, MONACO","MARFIA, GUSTAVO",{'weight': 0.05}
"ROVERSI, MONACO","FABIO, ALBERTO",{'weight': 0.05}
"ROVERSI, MONACO","VARNI, ANGELO",{'weight': 0.05}
"ROVERSI, MONACO","ZANICHELLI, MARCO",{'weight': 0.05}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","ZANICHELLI, MARCO",{'weight': 0.15}
"ROCCETTI, MARCO","VARNI, ANGELO",{'weight': 0.3}
"ROCCETTI, MARCO","FABIO, ALBERTO",{'weight': 0.05}
"MARFIA, GUSTAVO","ZANICHELLI, MARCO",{'weight': 0.15}
"MARFIA, GUSTAVO","VARNI, ANGELO",{'weight': 0.3}
"MARFIA, GUSTAVO","FABIO, ALBERTO",{'weight': 0.05}
"ZANICHELLI, MARCO","VARNI, ANGELO",{'weight': 0.1}
"ZANICHELLI, MARCO","FABIO, ALBERTO",{'weight': 0.05}
"FABIO, ALBERTO","VARNI, ANGELO",{'weight': 0.05}
