Source,Target,Attributes
"ROCCETTI, MARCO","PRANDI, CATIA",{'weight': 0.5}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"SALOMONI, PAOLA","MIRRI, SILVIA",{'weight': 3.95}
"SALOMONI, PAOLA","PRANDI, CATIA",{'weight': 1.8}
"SALOMONI, PAOLA","MARFIA, GUSTAVO",{'weight': 0.25}
"MARFIA, GUSTAVO","PRANDI, CATIA",{'weight': 0.15}
"MARFIA, GUSTAVO","MIRRI, SILVIA",{'weight': 0.05}
"PRANDI, CATIA","MIRRI, SILVIA",{'weight': 1.3}
