Source,Target,Attributes
"PANZIERI, FABIO","FERRETTI, STEFANO",{'weight': 0.75}
"PANZIERI, FABIO","GHINI, VITTORIO",{'weight': 1.1}
"PANZIERI, FABIO","CACCIAGUERRA, STEFANO",{'weight': 0.15}
"PANZIERI, FABIO","ROCCETTI, MARCO",{'weight': 0.05}
"PANZIERI, FABIO","SALOMONI, PAOLA",{'weight': 0.05}
"SALOMONI, PAOLA","FERRETTI, STEFANO",{'weight': 1.3}
"SALOMONI, PAOLA","ROCCETTI, MARCO",{'weight': 2.55}
"SALOMONI, PAOLA","CACCIAGUERRA, STEFANO",{'weight': 0.45}
"SALOMONI, PAOLA","GHINI, VITTORIO",{'weight': 0.25}
"ROCCETTI, MARCO","FERRETTI, STEFANO",{'weight': 2.95}
"ROCCETTI, MARCO","CACCIAGUERRA, STEFANO",{'weight': 0.55}
"ROCCETTI, MARCO","GHINI, VITTORIO",{'weight': 0.25}
"FERRETTI, STEFANO","GHINI, VITTORIO",{'weight': 1.2}
"FERRETTI, STEFANO","CACCIAGUERRA, STEFANO",{'weight': 0.3}
"GHINI, VITTORIO","CACCIAGUERRA, STEFANO",{'weight': 0.15}
