Source,Target,Attributes
"MARFIA, GUSTAVO","ROCCETTI, MARCO",{'weight': 3.7}
"MARFIA, GUSTAVO","MIRRI, SILVIA",{'weight': 0.05}
"MARFIA, GUSTAVO","BUJARI, ARMIR",{'weight': 0.1}
"MARFIA, GUSTAVO","PALAZZI, CLAUDIO ENRICO",{'weight': 0.1}
"ROCCETTI, MARCO","MIRRI, SILVIA",{'weight': 1.2}
"ROCCETTI, MARCO","BUJARI, ARMIR",{'weight': 0.1}
"ROCCETTI, MARCO","PALAZZI, CLAUDIO ENRICO",{'weight': 0.4}
"PALAZZI, CLAUDIO ENRICO","BUJARI, ARMIR",{'weight': 0.05}
"PALAZZI, CLAUDIO ENRICO","MIRRI, SILVIA",{'weight': 0.05}
"MIRRI, SILVIA","BUJARI, ARMIR",{'weight': 0.05}
