Source,Target,Attributes
"BERTUCCIOLI, CRISTIAN","ROCCETTI, MARCO",{'weight': 0.25}
"BERTUCCIOLI, CRISTIAN","MARCOMINI, ANDREA",{'weight': 0.2}
"BERTUCCIOLI, CRISTIAN","VARNI, ANGELO",{'weight': 0.1}
"BERTUCCIOLI, CRISTIAN","MARFIA, GUSTAVO",{'weight': 0.25}
"BERTUCCIOLI, CRISTIAN","AMOROSO, ALESSANDRO",{'weight': 0.05}
"MARFIA, GUSTAVO","ROCCETTI, MARCO",{'weight': 3.7}
"MARFIA, GUSTAVO","AMOROSO, ALESSANDRO",{'weight': 1.2}
"MARFIA, GUSTAVO","MARCOMINI, ANDREA",{'weight': 0.25}
"MARFIA, GUSTAVO","VARNI, ANGELO",{'weight': 0.3}
"ROCCETTI, MARCO","AMOROSO, ALESSANDRO",{'weight': 1.4}
"ROCCETTI, MARCO","MARCOMINI, ANDREA",{'weight': 0.25}
"ROCCETTI, MARCO","VARNI, ANGELO",{'weight': 0.3}
"AMOROSO, ALESSANDRO","MARCOMINI, ANDREA",{'weight': 0.05}
"AMOROSO, ALESSANDRO","VARNI, ANGELO",{'weight': 0.05}
"VARNI, ANGELO","MARCOMINI, ANDREA",{'weight': 0.1}
