Source,Target,Attributes
"GHINI, VITTORIO","FERRETTI, STEFANO",{'weight': 1.2}
"GHINI, VITTORIO","PANZIERI, FABIO",{'weight': 1.1}
"GHINI, VITTORIO","CACCIAGUERRA, STEFANO",{'weight': 0.15}
"GHINI, VITTORIO","ROCCETTI, MARCO",{'weight': 0.25}
"GHINI, VITTORIO","SALOMONI, PAOLA",{'weight': 0.25}
"ROCCETTI, MARCO","SALOMONI, PAOLA",{'weight': 2.55}
"ROCCETTI, MARCO","FERRETTI, STEFANO",{'weight': 2.95}
"ROCCETTI, MARCO","CACCIAGUERRA, STEFANO",{'weight': 0.55}
"ROCCETTI, MARCO","PANZIERI, FABIO",{'weight': 0.05}
"SALOMONI, PAOLA","FERRETTI, STEFANO",{'weight': 1.3}
"SALOMONI, PAOLA","CACCIAGUERRA, STEFANO",{'weight': 0.45}
"SALOMONI, PAOLA","PANZIERI, FABIO",{'weight': 0.05}
"CACCIAGUERRA, STEFANO","PANZIERI, FABIO",{'weight': 0.15}
"CACCIAGUERRA, STEFANO","FERRETTI, STEFANO",{'weight': 0.3}
"PANZIERI, FABIO","FERRETTI, STEFANO",{'weight': 0.75}
