Source,Target,Attributes
"MARFIA, GUSTAVO","ROCCETTI, MARCO",{'weight': 3.7}
"MARFIA, GUSTAVO","SALOMONI, PAOLA",{'weight': 0.25}
"MARFIA, GUSTAVO","Prandi, Catia",{'weight': 0.1}
"MARFIA, GUSTAVO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"MARFIA, GUSTAVO","GNINGAYE, KENGNI",{'weight': 0.05}
"MARFIA, GUSTAVO","FAUSTINE, LINDA",{'weight': 0.05}
"MARFIA, GUSTAVO","BAZZOLI, FRANCO",{'weight': 0.05}
"MARFIA, GUSTAVO","MONTAGNANI, MARCO",{'weight': 0.1}
"SALOMONI, PAOLA","ROCCETTI, MARCO",{'weight': 2.55}
"SALOMONI, PAOLA","Prandi, Catia",{'weight': 0.15}
"SALOMONI, PAOLA","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"SALOMONI, PAOLA","GNINGAYE, KENGNI",{'weight': 0.05}
"SALOMONI, PAOLA","FAUSTINE, LINDA",{'weight': 0.05}
"SALOMONI, PAOLA","BAZZOLI, FRANCO",{'weight': 0.05}
"SALOMONI, PAOLA","MONTAGNANI, MARCO",{'weight': 0.1}
"ROCCETTI, MARCO","Prandi, Catia",{'weight': 0.15}
"ROCCETTI, MARCO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"ROCCETTI, MARCO","GNINGAYE, KENGNI",{'weight': 0.05}
"ROCCETTI, MARCO","FAUSTINE, LINDA",{'weight': 0.05}
"ROCCETTI, MARCO","BAZZOLI, FRANCO",{'weight': 0.05}
"ROCCETTI, MARCO","MONTAGNANI, MARCO",{'weight': 0.1}
"BAZZOLI, FRANCO","Prandi, Catia",{'weight': 0.05}
"BAZZOLI, FRANCO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"BAZZOLI, FRANCO","GNINGAYE, KENGNI",{'weight': 0.05}
"BAZZOLI, FRANCO","FAUSTINE, LINDA",{'weight': 0.05}
"BAZZOLI, FRANCO","MONTAGNANI, MARCO",{'weight': 0.05}
"Prandi, Catia","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"Prandi, Catia","GNINGAYE, KENGNI",{'weight': 0.05}
"Prandi, Catia","FAUSTINE, LINDA",{'weight': 0.05}
"Prandi, Catia","MONTAGNANI, MARCO",{'weight': 0.05}
"MONTAGNANI, MARCO","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"MONTAGNANI, MARCO","GNINGAYE, KENGNI",{'weight': 0.05}
"MONTAGNANI, MARCO","FAUSTINE, LINDA",{'weight': 0.05}
"GNINGAYE, KENGNI","ZAGARI, ROCCO MAURIZIO",{'weight': 0.05}
"GNINGAYE, KENGNI","FAUSTINE, LINDA",{'weight': 0.05}
"ZAGARI, ROCCO MAURIZIO","FAUSTINE, LINDA",{'weight': 0.05}
