Source,Target,Attributes
"MASCIO, ANTONELLA","MARFIA, GUSTAVO",{'weight': 0.05}
"MASCIO, ANTONELLA","TOLIC, INES",{'weight': 0.05}
"MASCIO, ANTONELLA","MATTEUCCI, GIOVANNI",{'weight': 0.05}
"MASCIO, ANTONELLA","ROCCETTI, MARCO",{'weight': 0.05}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","TOLIC, INES",{'weight': 0.05}
"ROCCETTI, MARCO","MATTEUCCI, GIOVANNI",{'weight': 0.25}
"MARFIA, GUSTAVO","TOLIC, INES",{'weight': 0.1}
"MARFIA, GUSTAVO","MATTEUCCI, GIOVANNI",{'weight': 0.25}
"MATTEUCCI, GIOVANNI","TOLIC, INES",{'weight': 0.05}
